# TheN0thing secret-pattern catalog  (scan_body format, case-SENSITIVE ERE)
# <name_underscored> <severity> <category> <ere_regex...>
#
# ── Cloud / infra ──
AWS_Access_Key critical secret AKIA[0-9A-Z]{16}
AWS_Session/MFA high secret ASIA[0-9A-Z]{16}
Google_API_Key high secret AIza[0-9A-Za-z_-]{35}
Google_OAuth_Token high secret ya29\.[0-9A-Za-z_-]{20,}
GCP_Service_Account critical secret "type":[[:space:]]*"service_account"
Firebase_DB_URL medium secret https://[a-z0-9-]+\.firebaseio\.com
DigitalOcean_Token critical secret dop_v1_[0-9a-f]{64}
Heroku_Platform_Key high secret HRKU-[0-9A-Za-z_-]{30,}
# ── VCS / CI ──
GitHub_PAT_classic critical secret ghp_[0-9A-Za-z]{36}
GitHub_OAuth high secret gho_[0-9A-Za-z]{36}
GitHub_App_Token high secret (ghu|ghs)_[0-9A-Za-z]{36}
GitHub_FineGrained_PAT critical secret github_pat_[0-9A-Za-z_]{82}
GitLab_PAT critical secret glpat-[0-9A-Za-z_-]{20}
NPM_Token critical secret npm_[0-9A-Za-z]{36}
PyPI_Token critical secret pypi-AgEIcHlwaS[0-9A-Za-z_-]{50,}
# ── SaaS ──
Slack_Token critical secret xox[baprs]-[0-9A-Za-z-]{10,48}
Slack_Webhook high secret hooks\.slack\.com/services/[A-Z0-9]+/[A-Z0-9]+/[0-9A-Za-z]+
Stripe_Live_Secret critical secret sk_live_[0-9A-Za-z]{24,}
Stripe_Restricted critical secret rk_live_[0-9A-Za-z]{24,}
SendGrid_Key critical secret SG\.[0-9A-Za-z_-]{22}\.[0-9A-Za-z_-]{43}
Mailgun_Key high secret key-[0-9a-f]{32}
Twilio_SID medium secret AC[0-9a-f]{32}
Postman_API_Key critical secret PMAK-[0-9a-f]{24}-[0-9a-f]{34}
# ── AI providers ──
Anthropic_API_Key critical secret sk-ant-[0-9A-Za-z_-]{20,}
OpenAI_API_Key critical secret sk-[A-Za-z0-9_-]{20,}T3BlbkFJ[A-Za-z0-9_-]{20,}
HuggingFace_Token high secret hf_[0-9A-Za-z]{34}
# ── Generic / structural ──
Private_Key critical secret -----BEGIN[[:space:]]?(RSA|EC|DSA|OPENSSH|PGP)?[[:space:]]?PRIVATE[[:space:]]KEY
JWT_Token low secret eyJ[A-Za-z0-9_-]{10,}\.eyJ[A-Za-z0-9_-]{10,}\.[A-Za-z0-9_-]{10,}
Basic_Auth_In_URL high secret https?://[A-Za-z0-9._%+-]+:[^@[:space:]/]{3,}@[A-Za-z0-9.-]+
Generic_Assignment medium secret (api[_-]?key|secret|passwd|password|access[_-]?token)"?[[:space:]]*[:=][[:space:]]*"[0-9A-Za-z_/+-]{16,}"
